date,pm2_5_mean,pm2_5_max,pm2_5_min,pm2_5_std,pm10,ozone,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,pressure_msl,tavg,tmin,tmax,prcp,wspd,pres,fire_count,fire_brightness_avg,fire_frp_mean,fire_frp_max,fire_frp_total
2023-01-01,144.54166666666666,205.8,72.4,44.50077592549387,207.5625,176,129.06666666666666,36.92916666666667,5914.166666666667,10.779166666666667,79.83333333333333,3.5708333333333333,90,1020.7291666666666,11.6,9.0,19.0,0.0,0.2,1020.6,3.0,318.44666666666666,2.6199999999999997,4.35,7.859999999999999
2023-01-02,175.2458333333333,247.7,75.4,59.6529162461205,251.38333333333333,228,157.97916666666666,44.18333333333334,6802.791666666667,9.041666666666666,89.08333333333333,2.2125,117,1022.1,10.6,5.2,17.0,0.0,0.2,1022.2,3.0,335.9433333333333,10.930000000000001,22.87,32.790000000000006
2023-01-03,161.04166666666666,228.6,77.8,48.88927077694502,230.85416666666666,230,137.85833333333332,43.69583333333333,5553.333333333333,9.154166666666667,88.20833333333333,5.345833333333334,3,1023.3708333333334,9.5,4.2,14.0,0.0,0.5,1023.6,1.0,336.75,3.59,3.59,3.59
2023-01-04,218.21666666666667,303.6,102.0,67.06815914436964,312.2916666666667,291,178.225,53.9125,7568.916666666667,9.387500000000001,84.95833333333333,2.6791666666666667,117,1023.4416666666666,10.0,5.2,15.0,0.0,0.4,1023.7,0.0,0.0,0.0,0.0,0.0
2023-01-05,223.17083333333335,287.8,150.4,46.79182833866788,318.9875,258,160.97083333333333,41.81666666666667,7611.916666666667,6.6875,92.45833333333333,3.6791666666666667,114,1024.4333333333334,8.0,5.0,13.0,0.0,0.4,1024.6,0.0,0.0,0.0,0.0,0.0
2023-01-06,219.57916666666665,321.3,144.4,64.71762060418061,313.94166666666666,195,141.40833333333333,36.94166666666667,6805.916666666667,7.2,94.41666666666667,2.9291666666666667,117,1024.9041666666667,8.5,6.0,12.0,0.0,0.7,1025.4,0.0,0.0,0.0,0.0,0.0
2023-01-07,203.25,257.0,153.2,26.47784964341195,290.4458333333333,215,117.74583333333334,26.09166666666667,5414.375,8.612499999999999,92.875,5.983333333333333,270,1022.4958333333334,9.1,6.2,12.0,0.0,0.6,1023.7,4.0,298.39750000000004,0.625,1.17,2.5
2023-01-08,191.92499999999998,297.1,128.5,52.126812344679124,274.9166666666667,231,138.20416666666668,28.141666666666666,5875.166666666667,9.545833333333333,92.875,5.9750000000000005,255,1019.775,11.6,6.2,16.0,0.0,0.5,1020.6,3.0,296.4166666666667,0.7733333333333333,0.89,2.32
2023-01-09,219.125,267.3,167.2,32.00854845057868,313.89166666666665,296,154.94583333333333,35.670833333333334,6824.416666666667,10.458333333333334,90.54166666666667,4.5625,141,1020.6833333333334,10.8,6.6,16.8,0.0,0.5,1020.9,0.0,0.0,0.0,0.0,0.0
2023-01-10,206.07500000000002,249.6,125.3,31.32185304640947,295.6791666666667,332,147.45416666666668,27.245833333333334,5895.291666666667,10.625,92.125,4.945833333333334,85,1018.9458333333333,11.7,6.8,15.8,0.0,0.7,1020.4,0.0,0.0,0.0,0.0,0.0
2023-01-11,148.24583333333334,196.0,103.4,32.05807202381419,212.75,143,67.99583333333334,12.933333333333332,3189.125,10.825000000000001,95.33333333333333,7.7375,90,1014.3041666666667,11.1,9.0,14.5,0.0,1.1,1015.3,0.0,0.0,0.0,0.0,0.0
2023-01-12,143.525,198.8,100.4,30.503588527310658,208.0,151,95.8625,27.254166666666666,4478.583333333333,11.487499999999999,85.83333333333333,7.241666666666667,90,1012.6750000000001,12.4,9.2,17.5,0.0,1.4,1013.4,0.0,0.0,0.0,0.0,0.0
2023-01-13,92.60000000000001,127.6,67.5,13.224055814080378,135.67083333333332,166,61.987500000000004,18.26666666666667,2354.3333333333335,10.829166666666666,88.5,5.8625,225,1015.375,11.2,9.8,14.0,0.0,1.6,1014.4,5.0,303.914,0.974,2.16,4.87
2023-01-14,51.612500000000004,68.5,33.4,9.587732764591296,74.77083333333333,144,43.52916666666667,12.220833333333333,1547.5833333333333,9.237499999999999,72.58333333333333,8.758333333333333,301,1018.1666666666666,9.8,5.0,17.5,0.0,3.6,1018.4,10.0,329.094,4.247999999999999,13.58,42.48
2023-01-15,86.39166666666667,138.8,35.5,36.26615282297959,123.94583333333333,171,87.25416666666666,22.724999999999998,3370.25,7.879166666666666,65.625,7.954166666666667,272,1015.8916666666668,10.7,4.2,18.0,0.0,1.5,1016.6,5.0,331.288,3.582,4.76,17.91
2023-01-16,86.72083333333335,134.1,51.3,23.36934035955187,124.42083333333333,201,77.80833333333334,20.870833333333334,2815.0416666666665,8.091666666666667,62.041666666666664,7.6125,306,1017.7583333333333,10.8,5.0,19.0,0.0,1.9,1017.3,3.0,339.5466666666667,4.026666666666666,6.44,12.08
2023-01-17,111.49166666666667,150.9,50.3,33.919532870382035,159.88750000000002,204,108.08333333333333,27.59166666666667,3901.2083333333335,8.704166666666667,64.20833333333333,6.879166666666666,288,1017.9416666666666,10.2,3.7,19.0,0.0,1.9,1018.1,4.0,326.9075,3.7800000000000002,7.61,15.120000000000001
2023-01-18,138.85833333333332,244.0,74.7,52.9369347239809,198.72083333333333,239,124.65833333333335,38.25,4723.458333333333,10.225,65.29166666666667,6.175,261,1020.0083333333333,12.2,5.0,18.5,0.0,0.8,1019.9,2.0,332.03999999999996,2.795,3.93,5.59
2023-01-19,136.69166666666666,197.9,68.7,39.50833612275271,196.28333333333333,224,104.92083333333333,36.545833333333334,4030.7083333333335,12.991666666666667,63.333333333333336,5.966666666666668,321,1019.5500000000001,14.3,7.5,20.5,0.0,2.1,1020.1,13.0,336.61538461538464,31.75692307692308,165.37,412.84000000000003
2023-01-20,99.32916666666667,158.8,64.5,32.890919576377165,143.5,157,65.65833333333333,22.925,2658.0416666666665,9.525,89.45833333333333,6.216666666666666,66,1019.7333333333332,12.1,8.5,15.2,0.0,1.6,1019.6,0.0,0.0,0.0,0.0,0.0
2023-01-21,63.80833333333334,92.4,35.7,18.46867893080811,91.91666666666667,144,56.5,18.170833333333334,1849.625,11.283333333333333,77.29166666666667,6.766666666666667,295,1018.25,14.0,8.9,19.0,0.0,2.9,1019.3,3.0,340.8533333333333,3.3033333333333332,5.88,9.91
