date,pm2_5_mean,pm2_5_max,pm2_5_std,pm10,ozone,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,relative_humidity_2m,tavg,tmin,tmax,prcp,wspd,pres,fire_count,fire_frp_max,fire_frp_total
2023-01-01,144.54166666666666,205.8,44.50077592549387,207.5625,176.0,129.06666666666666,36.92916666666667,5914.166666666667,79.83333333333333,11.6,9.0,19.0,0.0,0.2,1020.6,3.0,4.35,7.859999999999999
2023-01-02,175.2458333333333,247.7,59.6529162461205,251.38333333333333,228.0,157.97916666666666,44.18333333333334,6802.791666666667,89.08333333333333,10.6,5.2,17.0,0.0,0.2,1022.2,3.0,22.87,32.790000000000006
2023-01-03,161.04166666666666,228.6,48.88927077694502,230.85416666666663,230.0,137.85833333333332,43.69583333333333,5553.333333333333,88.20833333333333,9.5,4.2,14.0,0.0,0.5,1023.6,1.0,3.59,3.59
2023-01-04,218.21666666666667,303.6,67.06815914436964,312.2916666666667,291.0,178.225,53.9125,7568.916666666667,84.95833333333333,10.0,5.2,15.0,0.0,0.4,1023.7,0.0,0.0,0.0
2023-01-05,223.1708333333333,287.8,46.79182833866788,318.9875,258.0,160.97083333333333,41.81666666666667,7611.916666666667,92.45833333333331,8.0,5.0,13.0,0.0,0.4,1024.6,0.0,0.0,0.0
2023-01-06,219.57916666666665,321.3,64.71762060418061,313.94166666666666,195.0,141.40833333333333,36.94166666666667,6805.916666666667,94.41666666666669,8.5,6.0,12.0,0.0,0.7,1025.4,0.0,0.0,0.0
2023-01-07,203.25,257.0,26.47784964341195,290.4458333333333,215.0,117.74583333333334,26.09166666666667,5414.375,92.875,9.1,6.2,12.0,0.0,0.6,1023.7,4.0,1.17,2.5
2023-01-08,191.925,297.1,52.12681234467912,274.9166666666667,231.0,138.20416666666668,28.141666666666666,5875.166666666667,92.875,11.6,6.2,16.0,0.0,0.5,1020.6,3.0,0.89,2.32
2023-01-09,219.125,267.3,32.00854845057868,313.89166666666665,296.0,154.94583333333333,35.670833333333334,6824.416666666667,90.54166666666669,10.8,6.6,16.8,0.0,0.5,1020.9,0.0,0.0,0.0
2023-01-10,206.075,249.6,31.32185304640947,295.6791666666667,332.0,147.45416666666668,27.245833333333334,5895.291666666667,92.125,11.7,6.8,15.8,0.0,0.7,1020.4,0.0,0.0,0.0
2023-01-11,148.24583333333334,196.0,32.05807202381419,212.75,143.0,67.99583333333334,12.933333333333332,3189.125,95.33333333333331,11.1,9.0,14.5,0.0,1.1,1015.3,0.0,0.0,0.0
2023-01-12,143.525,198.8,30.50358852731065,208.0,151.0,95.8625,27.254166666666663,4478.583333333333,85.83333333333333,12.4,9.2,17.5,0.0,1.4,1013.4,0.0,0.0,0.0
2023-01-13,92.6,127.6,13.224055814080378,135.67083333333332,166.0,61.9875,18.26666666666667,2354.333333333333,88.5,11.2,9.8,14.0,0.0,1.6,1014.4,5.0,2.16,4.87
