time,pm2_5,pm10,ozone,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,pressure_msl
2023-01-01T00:00,138.3,198.4,0,121.4,31.5,4439,6.5,96,9.2,309,1019.1
2023-01-01T01:00,138.3,198.4,0,128.4,31.4,4948,6,96,9.2,312,1019.7
2023-01-01T02:00,140.6,201.6,0,138,31.1,5658,6,97,7.3,340,1020.2
2023-01-01T03:00,154.1,221.2,5,141.9,30,6052,7.7,94,4,360,1020.9
2023-01-01T04:00,145.3,208.2,27,131.3,27.5,5451,10,85,2.3,39,1021.7
2023-01-01T05:00,129,185.3,59,113.5,24.3,4383,12.6,74,0.4,180,1022.4
2023-01-01T06:00,109,156.9,100,88.8,22.7,3102,14.7,62,0.8,243,1022.1
2023-01-01T07:00,92.4,133.2,131,67.3,25.8,2472,16,57,1.8,259,1021.1
2023-01-01T08:00,81.7,117.8,161,44.3,31.1,1972,16.5,55,2.2,270,1020.2
2023-01-01T09:00,75,108,176,36.8,38,1798,16.8,54,1.4,270,1019.5
2023-01-01T10:00,72.4,104.3,151,62.5,41.3,2141,16.6,55,0.8,243,1019.2
2023-01-01T11:00,80.1,115.3,105,106.4,44,2822,16.3,57,1.1,180,1019.3
2023-01-01T12:00,103.6,149,57,140.3,41,3590,15.1,66,2.4,117,1019.7
2023-01-01T13:00,132.2,190,42,155.5,42,4773,13.9,71,2.5,90,1020.1
2023-01-01T14:00,155.5,223.1,21,176.9,43.6,6459,13,75,2.5,90,1020.8
2023-01-01T15:00,171.8,246.8,0,195.1,45.2,8402,12,79,2.2,99,1021.4
2023-01-01T16:00,184.4,264.5,0,191.3,45.8,9277,11,83,0.4,90,1021.6
2023-01-01T17:00,195.6,280.3,0,178.8,46,9887,10.4,86,1.6,27,1022
2023-01-01T18:00,203.5,292.4,0,161.5,45.5,10254,9.8,88,4,10,1021.8
2023-01-01T19:00,205.8,295.2,0,151.1,44.3,10114,6.8,94,6.6,29,1021.7
2023-01-01T20:00,204.4,293.4,0,140.8,42.6,9666,6,95,6.9,43,1021.4
2023-01-01T21:00,197.9,284.1,0,134.1,39.8,8888,5.1,98,7.4,61,1020.9
2023-01-01T22:00,184.9,265.4,0,139.9,37.3,8138,4.9,100,5.6,63,1020.5
2023-01-01T23:00,173.2,248.7,0,151.7,34.5,7254,5,99,3.1,45,1020.2
2023-01-02T00:00,156.5,224,1,111.1,24.7,4888,4.4,99,2.3,231,1020.6
2023-01-02T01:00,164.8,236.6,0,125.4,23.8,5848,3.7,99,2.3,309,1021
2023-01-02T02:00,177,253.3,0,145.4,22.5,7193,4,98,1.9,22,1021.8
2023-01-02T03:00,196,281.3,7,158.2,21.5,8138,4.6,100,2.6,56,1022.6
2023-01-02T04:00,177.4,254.3,49,146.1,21,7473,6.3,98,3.4,72,1023.3
2023-01-02T05:00,195.1,279.4,107,122.5,21,6096,8,97,4,100,1023.9
2023-01-02T06:00,156.9,224.9,173,89.2,24.1,4292,10.1,92,3.2,117,1023.8
2023-01-02T07:00,111.5,160.2,204,61.6,31.1,3227,12.6,82,2.3,129,1023
2023-01-02T08:00,88.9,128.1,226,32,40.8,2224,14.6,72,1.3,146,1021.9
2023-01-02T09:00,80.3,115.7,228,18.1,50.3,1485,15.4,68,0.8,207,1021.2
2023-01-02T10:00,75.4,108.5,196,44.3,50.9,1587,15.6,67,0.5,225,1020.7
2023-01-02T11:00,77.8,112,142,91.1,48.3,2117,15.3,69,1.1,252,1020.8
2023-01-02T12:00,108.3,155.5,81,148.6,49.3,3190,14.6,73,2.6,164,1021
2023-01-02T13:00,142.5,204.4,60,185.7,53,4553,13.3,79,2.9,150,1021.3
2023-01-02T14:00,174.6,250.5,30,238.1,58.3,6499,12.2,83,2.1,149,1021.9
2023-01-02T15:00,203.5,291.5,0,286.9,63.5,8819,11.5,86,0.8,117,1022.2
2023-01-02T16:00,226.3,324.1,0,287.6,64.1,9993,10.6,90,0.7,90,1022.4
2023-01-02T17:00,240.3,344.6,0,270.5,63.2,10924,9.6,94,2.6,74,1022.6
2023-01-02T18:00,247.7,355.8,0,243.6,61,11648,7.2,100,4.5,76,1022.6
2023-01-02T19:00,247.7,355.8,0,226.2,59,11665,6.7,100,4,95,1022.7
2023-01-02T20:00,245.9,352,0,207.1,56.4,11315,5.7,100,2.3,129,1022.6
2023-01-02T21:00,241.2,346.5,0,188.7,53.2,10683,4.4,99,0.5,135,1022.5
2023-01-02T22:00,237,339.9,0,182.4,50.8,10072,3.4,97,1.6,63,1022.1
2023-01-02T23:00,233.3,334.3,0,181.1,48.6,9338,3.2,96,2.8,40,1021.9
2023-01-03T00:00,139.2,199.8,0,126.3,28.5,4534,5.1,98,1.8,79,1022.3
2023-01-03T01:00,149.5,214.2,0,145.6,30.5,5534,5.2,98,3.1,69,1022.9
2023-01-03T02:00,167.2,239.3,0,172.6,33.4,6933,5,98,3.1,54,1024.1
2023-01-03T03:00,195.6,280.3,8,186.9,37.3,7815,5.2,95,2.6,74,1024.8
2023-01-03T04:00,180.7,258.9,46,162.8,40.5,6847,6.5,94,1,45,1025.3
2023-01-03T05:00,164.4,236.1,99,120.4,43.9,5040,8.4,95,2.1,301,1025.6
2023-01-03T06:00,129.9,188.1,161,69.3,46.5,2935,10.2,94,4.2,301,1025.3
2023-01-03T07:00,108,156.5,195,43.6,46,2136,12.2,88,4.6,321,1024.7
2023-01-03T08:00,94.1,136,223,22.8,44,1640,14.2,79,4,333,1023.5
2023-01-03T09:00,83.8,120.6,230,14.6,40.5,1365,15.4,70,5.1,321,1022.6
2023-01-03T10:00,77.8,111.5,197,34,36.9,1470,15.9,65,6.6,315,1022.1
2023-01-03T11:00,77.8,111.5,141,68.9,32.6,1831,15.5,66,5.6,310,1022.2
2023-01-03T12:00,113.6,163,82,134.3,43,2963,12.4,81,8,288,1022.2
2023-01-03T13:00,141.6,203,62,155.6,45,4064,10.3,85,10,308,1022.4
2023-01-03T14:00,168.1,240.3,34,185.9,48.1,5636,9.9,85,8.5,332,1022.9
2023-01-03T15:00,187.7,269.2,4,215.1,51.8,7527,9.7,85,6.5,3,1023.2
2023-01-03T16:00,204.9,293.4,0,217.9,53.9,8576,8.8,88,6.9,6,1023.7
2023-01-03T17:00,219.3,313.9,0,211.2,55.8,9461,8.9,88,6.1,3,1023.9
2023-01-03T18:00,228.6,326.9,0,198.9,56.4,9962,9.3,88,3.7,11,1023.7
2023-01-03T19:00,226.3,324.1,1,190.9,54.7,9526,8.9,90,3.8,221,1023.2
2023-01-03T20:00,217,310.1,3,181.5,51.7,8581,7.3,94,6.5,236,1022.9
2023-01-03T21:00,205.8,294.3,7,166.5,46.9,7253,5.2,98,9.7,272,1022.6
2023-01-03T22:00,197.4,282.2,11,150.6,42.8,6313,5.1,98,8.2,299,1022.6
2023-01-03T23:00,186.7,267.3,17,132.4,38,5338,5.1,97,6.6,319,1022.2
2023-01-04T00:00,215.1,308.3,0,175.6,48.5,6882,7.2,96,4.1,345,1022.7
2023-01-04T01:00,209.1,299.9,0,180,46.3,7187,6.5,99,1.5,76,1023.4
2023-01-04T02:00,208.6,299,0,185.9,43.2,7608,5.2,99,1.6,117,1024
2023-01-04T03:00,219.3,314.8,7,183.2,39.2,7696,5.8,97,1.8,143,1024.7
2023-01-04T04:00,204.9,293.4,59,166.9,36.7,7058,7,98,1.1,180,1025.3
2023-01-04T05:00,217.5,311.1,132,142.3,34.2,6036,9,95,0.5,315,1025.8
2023-01-04T06:00,188.1,269.2,216,107,32.8,4672,11.5,86,1.4,360,1025.4
2023-01-04T07:00,146.7,209.5,257,74.2,34.4,3720,14,69,3.6,354,1024.2
2023-01-04T08:00,121.1,173.7,288,38.3,37.5,2769,15.6,55,5.9,346,1023
2023-01-04T09:00,109.4,156.5,291,20,40.8,2065,16.3,51,7.1,336,1022.3
2023-01-04T10:00,102,145.8,244,49.7,41,2208,16.4,51,6.7,324,1021.7
2023-01-04T11:00,104.3,149.5,167,103.3,40.2,2766,15.4,64,3.7,299,1021.7
2023-01-04T12:00,171.4,244.9,103,176.1,58.5,4399,10.9,83,6.5,214,1022.4
2023-01-04T13:00,199.8,285.9,77,198.6,60,5458,11.2,79,5.7,215,1022.6
2023-01-04T14:00,227.2,325,39,230.4,62,6976,11.1,79,2.3,198,1023
2023-01-04T15:00,248.7,356.7,1,261.4,65,8956,10.6,82,1.1,90,1023.4
2023-01-04T16:00,267.3,381.8,0,263.9,67.4,10253,9.9,85,0.4,90,1023.6
2023-01-04T17:00,283.1,405.1,0,256.4,70.2,11501,9,89,0.8,117,1023.5
2023-01-04T18:00,295.2,422.8,0,246.2,72.8,12653,8.1,92,1.6,117,1023.7
2023-01-04T19:00,301.7,431.2,0,243.5,73.7,12926,7.7,94,0.8,117,1023.6
2023-01-04T20:00,303.6,434,0,241.6,73.9,12825,6.6,99,0.4,90,1023.4
2023-01-04T21:00,300.8,430.3,0,241.2,73.3,12390,5.1,98,1.1,72,1023.3
2023-01-04T22:00,297.1,424.7,0,243.8,72.1,11755,2.9,100,2,45,1023
2023-01-04T23:00,295.2,421.9,0,247.9,70.2,10895,2.3,99,2.6,34,1022.9
2023-01-05T00:00,191.4,273.8,0,137.8,19.1,5886,1.3,99,3,76,1023.1
2023-01-05T01:00,189.1,270.1,0,138.4,19.4,6085,1.1,99,3.6,96,1023.7
2023-01-05T02:00,189.5,271,0,139.1,19.6,6363,2.1,100,3.9,112,1024.3
2023-01-05T03:00,191.9,273.8,3,139.7,19.5,6539,3,98,3.5,114,1025
2023-01-05T04:00,195.6,279.4,21,142.5,17.2,6413,4.8,98,4.1,135,1025.8
2023-01-05T05:00,195.6,279.4,46,145.8,14.1,6140,6.6,93,3.2,153,1026.2
2023-01-05T06:00,206.8,295.2,91,137.8,14.8,5571,9,92,2.1,149,1026.2
2023-01-05T07:00,212.8,303.6,146,107.8,22.9,4834,10.9,88,1.5,166,1025.4
