latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.1992,73.86084,326.05,0.52,0.5,2023-01-01,0840,N20,VIIRS,n,2,280.65,2.92,D,0
31.19979,73.86254,333.55,0.52,0.5,2023-01-01,0840,N20,VIIRS,n,2,280.54,4.35,D,0
31.62188,74.43297,295.74,0.46,0.39,2023-01-01,2103,N20,VIIRS,n,2,277.31,0.59,N,2
31.15327,73.70285,332.48,0.44,0.38,2023-01-02,0821,N20,VIIRS,n,2,292.28,4.67,D,0
31.09654,73.71066,340.21,0.44,0.38,2023-01-02,0821,N20,VIIRS,n,2,297.91,22.87,D,0
31.07412,73.90407,335.14,0.45,0.39,2023-01-02,0821,N20,VIIRS,n,2,292,5.25,D,0
31.35362,73.50024,336.75,0.4,0.37,2023-01-03,0802,N20,VIIRS,n,2,292.12,3.59,D,0
31.59212,74.41267,296.38,0.39,0.36,2023-01-07,2051,N20,VIIRS,n,2,279.51,0.4,N,0
31.67375,74.09413,295.24,0.38,0.36,2023-01-07,2051,N20,VIIRS,n,2,278.69,0.42,N,0
31.62037,74.42725,296.81,0.39,0.36,2023-01-07,2051,N20,VIIRS,n,2,279.02,0.51,N,2
31.61503,74.37611,305.16,0.39,0.36,2023-01-07,2051,N20,VIIRS,n,2,278.97,1.17,N,0
31.62041,74.43015,296.01,0.49,0.4,2023-01-08,2032,N20,VIIRS,n,2,278.33,0.89,N,2
31.60446,74.40651,296.29,0.49,0.4,2023-01-08,2032,N20,VIIRS,n,2,281.33,0.74,N,2
31.6061,74.4052,296.95,0.49,0.4,2023-01-08,2032,N20,VIIRS,n,2,281.81,0.69,N,2
31.12476,73.79288,327.51,0.4,0.37,2023-01-13,0814,N20,VIIRS,n,2,287.19,2.16,D,0
31.61764,74.37552,297.83,0.42,0.38,2023-01-13,2038,N20,VIIRS,n,2,276.35,0.72,N,2
31.60817,74.41934,297.76,0.42,0.38,2023-01-13,2038,N20,VIIRS,n,2,278.57,0.74,N,0
31.62075,74.43079,295.43,0.42,0.38,2023-01-13,2038,N20,VIIRS,n,2,277.2,0.56,N,2
31.62643,74.44096,301.04,0.42,0.38,2023-01-13,2038,N20,VIIRS,n,2,278.04,0.69,N,2
31.40849,73.72388,329.75,0.44,0.38,2023-01-14,0756,N20,VIIRS,n,2,290.58,2.63,D,0
31.15151,73.87776,329.09,0.44,0.38,2023-01-14,0756,N20,VIIRS,n,2,291.5,3.67,D,0
31.30542,73.965,330.52,0.43,0.38,2023-01-14,0756,N20,VIIRS,n,2,292.87,3.84,D,0
31.21218,74.2216,328.81,0.43,0.38,2023-01-14,0756,N20,VIIRS,n,2,292.08,5.16,D,0
31.0759,73.69917,331.36,0.45,0.39,2023-01-14,0756,N20,VIIRS,n,2,294.58,3.96,D,0
31.91169,74.68077,329.87,0.41,0.37,2023-01-14,0756,N20,VIIRS,n,2,291.98,2.29,D,0
31.87382,74.21028,327.6,0.42,0.38,2023-01-14,0756,N20,VIIRS,n,2,296,13.58,D,0
31.73867,74.47015,328.87,0.41,0.37,2023-01-14,0756,N20,VIIRS,n,2,291.1,1.78,D,0
31.96541,73.75835,328.36,0.43,0.38,2023-01-14,0756,N20,VIIRS,n,2,293.74,3.12,D,0
31.92021,73.78816,326.71,0.43,0.38,2023-01-14,0756,N20,VIIRS,n,2,290.91,2.45,D,0
31.12225,73.81073,331.79,0.51,0.49,2023-01-15,0737,N20,VIIRS,n,2,291.05,4,D,0
31.12097,73.81496,331.17,0.51,0.49,2023-01-15,0737,N20,VIIRS,n,2,288.93,4.04,D,0
31.88519,74.66062,329.24,0.44,0.46,2023-01-15,0737,N20,VIIRS,n,2,290.6,2.42,D,0
31.43015,73.75944,337.85,0.5,0.49,2023-01-15,0737,N20,VIIRS,n,2,291.66,4.76,D,0
31.15032,73.70291,326.39,0.51,0.5,2023-01-15,0737,N20,VIIRS,n,2,291.15,2.69,D,0
31.50257,73.57752,337.8,0.49,0.65,2023-01-16,0859,N20,VIIRS,n,2,291.02,4.01,D,0
31.79836,73.78109,325.91,0.5,0.66,2023-01-16,0859,N20,VIIRS,n,2,289.24,1.63,D,0
31.5043,73.5741,354.93,0.49,0.65,2023-01-16,0859,N20,VIIRS,n,2,293.3,6.44,D,0
31.92727,73.58407,349.47,0.51,0.5,2023-01-17,0840,N20,VIIRS,n,2,291,7.61,D,0
31.89034,73.53349,333.97,0.51,0.49,2023-01-17,0840,N20,VIIRS,n,2,291.96,4.01,D,0
31.24372,73.95583,325.96,0.53,0.5,2023-01-17,0840,N20,VIIRS,n,2,292.64,2.79,D,0
31.61332,74.36164,298.23,0.46,0.39,2023-01-17,2103,N20,VIIRS,n,2,277.06,0.71,N,0
31.14248,73.71482,334.59,0.44,0.38,2023-01-18,0821,N20,VIIRS,n,2,288.4,3.93,D,0
31.17616,73.5591,329.49,0.44,0.38,2023-01-18,0821,N20,VIIRS,n,2,288.5,1.66,D,0
31.09056,74.02898,367,0.39,0.37,2023-01-19,0802,N20,VIIRS,h,2,344.84,165.37,D,0
31.71989,74.4873,331,0.39,0.36,2023-01-19,0802,N20,VIIRS,n,2,293.51,2.77,D,0
31.72054,74.49135,327.88,0.39,0.36,2023-01-19,0802,N20,VIIRS,n,2,296.31,2.77,D,0
31.71331,74.48872,332.97,0.39,0.36,2023-01-19,0802,N20,VIIRS,l,2,304.54,74.07,D,0
31.19202,73.54075,341.52,0.4,0.37,2023-01-19,0802,N20,VIIRS,n,2,292.69,5.23,D,0
31.23398,74.028,329.55,0.39,0.36,2023-01-19,0802,N20,VIIRS,n,2,293.04,3.28,D,0
31.14976,73.80842,330.82,0.4,0.37,2023-01-19,0802,N20,VIIRS,n,2,294.54,4.1,D,0
31.13018,73.75286,330.8,0.4,0.37,2023-01-19,0802,N20,VIIRS,n,2,295.22,5.32,D,0
31.09388,74.02825,367,0.39,0.37,2023-01-19,0802,N20,VIIRS,l,2,327.66,103.79,D,0
31.09455,74.03234,327.41,0.39,0.37,2023-01-19,0802,N20,VIIRS,n,2,300.15,31.43,D,0
31.02875,74.51115,329.77,0.39,0.36,2023-01-19,0802,N20,VIIRS,n,2,293.6,2.6,D,0
31.00741,74.4198,326.09,0.39,0.36,2023-01-19,0802,N20,VIIRS,n,2,294,1.62,D,0
31.09123,74.03307,334.19,0.39,0.37,2023-01-19,0802,N20,VIIRS,n,2,290.04,10.49,D,0
31.26927,74.17775,327.06,0.36,0.58,2023-01-21,0724,N20,VIIRS,n,2,286.93,1.95,D,0
31.07716,73.91329,328.5,0.38,0.59,2023-01-21,0724,N20,VIIRS,n,2,284.68,2.08,D,0
31.56669,73.76561,367,0.38,0.59,2023-01-21,0725,N20,VIIRS,h,2,291.54,5.88,D,0
31.19636,73.52709,336.73,0.62,0.54,2023-01-22,0846,N20,VIIRS,n,2,289.24,9.43,D,0
31.48663,73.55228,330.89,0.51,0.41,2023-01-23,0827,N20,VIIRS,n,2,290.39,3.74,D,0
31.48616,73.54978,331.29,0.51,0.41,2023-01-23,0827,N20,VIIRS,n,2,289.45,3.71,D,0
31.50567,73.55221,329.05,0.51,0.41,2023-01-23,0827,N20,VIIRS,n,2,290.31,2.47,D,0
31.1818,73.73874,325.93,0.52,0.41,2023-01-23,0827,N20,VIIRS,n,2,289.8,2.33,D,0
31.23731,73.5252,328.76,0.51,0.41,2023-01-23,0827,N20,VIIRS,n,2,288.77,3.21,D,0
31.03881,73.92598,295.5,0.38,0.36,2023-01-23,2051,N20,VIIRS,n,2,280.17,0.76,N,0
31.33349,73.55236,329.57,0.38,0.36,2023-01-24,0808,N20,VIIRS,n,2,292.72,2.72,D,0
31.4301,73.7392,332.56,0.38,0.36,2023-01-24,0808,N20,VIIRS,n,2,301.73,15.87,D,0
31.23404,73.61427,325.07,0.38,0.36,2023-01-24,0808,N20,VIIRS,n,2,292.71,1.72,D,0
31.25104,74.17581,337.72,0.39,0.36,2023-01-24,0808,N20,VIIRS,n,2,291,3.92,D,0
31.04815,73.83938,330.11,0.51,0.41,2023-01-25,0749,N20,VIIRS,n,2,292.36,3.79,D,0
31.94909,73.7739,325.23,0.5,0.41,2023-01-25,0750,N20,VIIRS,n,2,289.95,2.01,D,0
31.21008,73.87115,336.82,0.62,0.54,2023-01-26,0731,N20,VIIRS,n,2,291.19,5.78,D,0
31.20764,73.87238,340.13,0.62,0.54,2023-01-26,0731,N20,VIIRS,n,2,290.44,6.73,D,0
31.225,73.51758,325.91,0.74,0.76,2023-01-26,0911,N20,VIIRS,n,2,288.59,3.73,D,0
31.60306,74.56328,297.69,0.42,0.61,2023-01-26,2134,N20,VIIRS,n,2,275.7,0.56,N,0
31.60851,74.40414,295.04,0.41,0.61,2023-01-26,2134,N20,VIIRS,n,2,278.31,0.6,N,0
31.59241,73.5073,328.49,0.59,0.7,2023-01-27,0712,N20,VIIRS,n,2,291.1,3.07,D,0
31.08506,73.91334,330.1,0.58,0.7,2023-01-27,0712,N20,VIIRS,n,2,291.46,2.93,D,0
31.50606,74.14912,345.52,0.42,0.61,2023-01-27,0852,N20,VIIRS,n,2,293.32,3.83,D,0
31.6076,74.41942,295.3,0.44,0.46,2023-01-27,2116,N20,VIIRS,n,2,277.93,0.61,N,0
