date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01 00:00:00,11.6,9,19,0,,,0.2,,1020.6,
2023-01-02 00:00:00,10.6,5.2,17,0,,,0.2,,1022.2,
2023-01-03 00:00:00,9.5,4.2,14,0,,,0.5,,1023.6,
2023-01-04 00:00:00,10,5.2,15,0,,,0.4,,1023.7,
2023-01-05 00:00:00,8,5,13,0,,,0.4,,1024.6,
2023-01-06 00:00:00,8.5,6,12,0,,,0.7,,1025.4,
2023-01-07 00:00:00,9.1,6.2,12,0,,,0.6,,1023.7,
2023-01-08 00:00:00,11.6,6.2,16,0,,,0.5,,1020.6,
2023-01-09 00:00:00,10.8,6.6,16.8,0,,,0.5,,1020.9,
2023-01-10 00:00:00,11.7,6.8,15.8,0,,,0.7,,1020.4,
2023-01-11 00:00:00,11.1,9,14.5,0,,,1.1,,1015.3,
2023-01-12 00:00:00,12.4,9.2,17.5,0,,,1.4,,1013.4,
2023-01-13 00:00:00,11.2,9.8,14,0,,,1.6,,1014.4,
2023-01-14 00:00:00,9.8,5,17.5,0,,,3.6,,1018.4,
2023-01-15 00:00:00,10.7,4.2,18,0,,,1.5,,1016.6,
2023-01-16 00:00:00,10.8,5,19,0,,,1.9,,1017.3,
2023-01-17 00:00:00,10.2,3.7,19,0,,,1.9,,1018.1,
2023-01-18 00:00:00,12.2,5,18.5,0,,,0.8,,1019.9,
2023-01-19 00:00:00,14.3,7.5,20.5,0,,,2.1,,1020.1,
2023-01-20 00:00:00,12.1,8.5,15.2,0,,,1.6,,1019.6,
2023-01-21 00:00:00,14,8.9,19,0,,,2.9,,1019.3,
2023-01-22 00:00:00,15.2,9.4,19.5,0,,,3.2,,1017.9,
2023-01-23 00:00:00,14.3,11.1,20,0,,,6.5,,1018,
2023-01-24 00:00:00,13.7,9,18.2,0,,,2,,1015.1,
2023-01-25 00:00:00,12.8,11,17,2.3,,,2.4,,1016.8,
2023-01-26 00:00:00,11.2,5.6,18.6,0,,,3.2,,1020.2,
2023-01-27 00:00:00,12.6,5.8,20.5,0,,,1.4,,1019.9,
2023-01-28 00:00:00,13.6,6,21.6,0,,,1.1,,1016.2,
2023-01-29 00:00:00,13.6,7.8,18.5,0,,,3.7,,1013.6,
2023-01-30 00:00:00,14.6,8,18.5,2,,,3.8,,1018,
2023-01-31 00:00:00,15.8,9,20,4.1,,,2.9,,1021,
2023-02-01 00:00:00,15.9,8,22.5,0,,,3.6,,1019.3,
2023-02-02 00:00:00,16.2,8.4,23.6,0,,,1.8,,1017.2,
2023-02-03 00:00:00,17.6,9.7,25.2,0,,,1.2,,1016.5,
2023-02-04 00:00:00,19.5,10.8,25.8,0,,,2.2,,1014.4,
2023-02-05 00:00:00,18.2,11.2,25.5,0,,,1.4,,1012.4,
2023-02-06 00:00:00,18.7,12.6,24.6,0,,,3.5,,1012.4,
2023-02-07 00:00:00,17.4,11.2,23.6,0,,,4.8,,1013,
2023-02-08 00:00:00,16.9,11.5,23.5,0,,,1.2,,1014.1,
2023-02-09 00:00:00,16.9,12.4,21.3,0,,,2.4,,1011.6,
2023-02-10 00:00:00,17.4,12.2,25,0,,,3.1,,1011,
2023-02-11 00:00:00,17.2,12.2,23,0,,,4.7,,1014.6,
2023-02-12 00:00:00,15.8,9.2,21.2,0,,,5.5,,1019.3,
2023-02-13 00:00:00,16,9,22.4,0,,,4.5,,1017.6,
2023-02-14 00:00:00,17.3,9.8,25.5,0,,,1.7,,1016.2,
2023-02-15 00:00:00,19.6,11.2,27.6,0,,,2.4,,1013.7,
2023-02-16 00:00:00,21.5,12.6,29.4,0,,,0.8,,1014.2,
2023-02-17 00:00:00,19.6,13.2,27.4,0,,,0.6,,1016,
2023-02-18 00:00:00,19.3,13.5,28.5,0,,,0.8,,1014.8,
2023-02-19 00:00:00,21.9,14,28,0,,,0.8,,1013.3,
2023-02-20 00:00:00,21.5,18.2,27.5,0,,,3.4,,1010.3,
2023-02-21 00:00:00,19.9,14.2,28,0,,,2.4,,1011.9,
2023-02-22 00:00:00,21.6,14,27.5,0,,,1.8,,1013.1,
2023-02-23 00:00:00,20.4,13.5,28.6,0,,,3.5,,1013.4,
2023-02-24 00:00:00,21.2,15.6,29.4,0,,,1.4,,1014.4,
2023-02-25 00:00:00,21,14.3,29,0,,,1.2,,1015.8,
2023-02-26 00:00:00,20.3,15.5,28.8,0,,,1.4,,1018,
2023-02-27 00:00:00,21.4,14.8,29.5,0,,,1.8,,1018,
2023-02-28 00:00:00,20.3,15.4,23.5,0.8,,,2.4,,1018.3,
2023-03-01 00:00:00,21.1,16,26,1,,,3.8,,1020.2,
2023-03-02 00:00:00,22.2,15.8,27.8,0,,,4.8,,1020.3,
2023-03-03 00:00:00,23,16.8,27,0,,,4,,1020.5,
2023-03-04 00:00:00,23.2,16.5,28.5,0,,,2.2,,1019.6,
2023-03-05 00:00:00,22.8,17.9,28.5,0,,,2.8,,1018.8,
2023-03-06 00:00:00,21.2,16.6,29.5,0,,,2.1,,1016,
2023-03-07 00:00:00,21.8,16,29.5,0,,,2.5,,1015.3,
2023-03-08 00:00:00,23,16,30.2,0,,,2.1,,1015.6,
2023-03-09 00:00:00,23.6,16.2,30.5,0,,,1.4,,1016.4,
2023-03-10 00:00:00,23.2,16.2,30.5,0,,,2,,1015.3,
2023-03-11 00:00:00,23.2,16.2,31.5,0,,,0.8,,1014.5,
2023-03-12 00:00:00,23.3,17,31,0,,,1,,1014.6,
2023-03-13 00:00:00,24.3,17.5,31.5,0,,,2.5,,1013.5,
2023-03-14 00:00:00,24.7,17.5,31.5,0,,,1.9,,1010.3,
2023-03-15 00:00:00,25.4,20.5,31.1,0,,,2.4,,1008.6,
2023-03-16 00:00:00,23.4,19,31.8,0,,,5.5,,1009.7,
2023-03-17 00:00:00,18.5,16,21.3,9.9,,,5.6,,1013,
2023-03-18 00:00:00,19.4,15.2,24,0,,,2.2,,1012.2,
2023-03-19 00:00:00,21.2,16,25.5,1,,,1.4,,1010,
2023-03-20 00:00:00,19.3,17.9,25,0,,,2.2,,1007.9,
2023-03-21 00:00:00,19.6,14.6,25.3,4.3,,,2.8,,1009.2,
2023-03-22 00:00:00,21.6,16,26.5,0,,,1.3,,1010.3,
2023-03-23 00:00:00,22.2,16.2,27.5,0,,,2.8,,1009.4,
2023-03-24 00:00:00,17.9,16.5,23.5,0,,,4.6,,1008.6,
2023-03-25 00:00:00,18.3,13.5,23.8,45,,,6.7,,1012,
2023-03-26 00:00:00,19.6,13.8,25.5,0,,,4,,1013,
