model,rmse,mae,r2,adj_r2,mape,train_time,best_params
Lasso Regression,19.694634013345233,16.312334006930232,0.8373544083658244,2.0978577435306853,17.851414489880234,0.14613890647888184,{'alpha': 0.1}
Ridge Regression,20.466082183662614,16.753591984184407,0.8243630468074361,2.1855494340498063,16.54107384753481,7.495248317718506,{'alpha': 1.0}
Gradient Boosting,24.337424136013357,19.83458174040318,0.7516319722131624,2.6764841875611545,15.930308392938661,37.04898977279663,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}"
XGBoost,24.440209557484692,18.64121527012771,0.7495296527248384,2.690674844107341,14.535534385683114,64.62965416908264,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}"
LightGBM,25.51119336509045,21.191842942455317,0.7270971844543748,2.84209400493297,19.50349037491835,15.918370723724365,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'num_leaves': 31}"
Random Forest,27.97145316903108,23.38944104397527,0.6719224402934763,3.2145235280190354,19.341183775422152,79.86160898208618,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Persistence Baseline,35.940875159640356,28.204522357723572,0.45834374445972703,4.656179724896843,27.161189219835403,,
7-day Moving Avg,47.444655517885785,39.68127903600464,0.056110700700424565,7.371252770272133,42.37605942560499,,
SVR,55.7734963691567,41.34180709117726,-0.30437422578469175,9.80452602404667,30.081768466396742,0.69917893409729,"{'C': 10.0, 'epsilon': 0.01, 'kernel': 'rbf'}"
Mean Baseline,73.67081941940003,57.90245170830703,-1.275817685584212,16.361769377693435,41.916397454539286,,
Median Baseline,81.77144225603115,66.40691056910568,-1.8038177624846696,19.92576989677152,48.65219142613748,,
